apn,address,zoning,zoning_full,area_sqft,width_ft,length_ft
4213-022-016,4025 SEPULVEDA BLVD,MU-2,Mixed Use 2,2501,25.1,100.0
4203-015-025,5408 SEPULVEDA BLVD,MU-1,Mixed Use 1,2496,25.0,100.1
4236-024-005,13013 W WASHINGTON BLVD,MU-1,Mixed Use 1,2503,25.1,100.0
4213-022-009,4045 SEPULVEDA BLVD,MU-2,Mixed Use 2,2501,25.0,100.0
4236-025-002,13123 W WASHINGTON BLVD,MU-1,Mixed Use 1,2497,25.0,100.0
4206-030-007,3830 MAIN ST,MU-DT,Mixed Use Downtown,2516,25.2,100.7
4233-026-014,11413 W WASHINGTON BLVD,MU-1,Mixed Use 1,2500,25.0,100.0
5065-003-006,6021 WASHINGTON BLVD,MU-1,Mixed Use 1,2997,30.0,100.0
4213-016-004,11140 WASHINGTON PL,MU-2,Mixed Use 2,2238,25.1,93.1
4203-021-013,5586 SEPULVEDA BLVD,MU-1,Mixed Use 1,2496,25.0,100.0
4210-024-041,4398 ELENDA ST,R1,Single Family,1897,25.1,90.0
4206-030-005,3820 MAIN ST,MU-DT,Mixed Use Downtown,2511,25.2,100.6
4215-011-003,4410 SEPULVEDA BLVD,MU-1,Mixed Use 1,2249,25.0,90.0
4208-014-020,,MU-1,Mixed Use 1,2272,25.4,90.1
4207-001-031,9523 CULVER BLVD,MU-DT,Mixed Use Downtown,2532,25.0,112.0
5065-015-005,5837 ADAMS BLVD,MU-2,Mixed Use 2,2500,25.0,100.0
4209-027-905,,MU-2,Mixed Use 2,1246,25.6,97.1
4206-033-032,3749 ROBERTSON BLVD,MU-HD,Mixed Use High,2547,25.0,101.9
4207-001-034,9537 CULVER BLVD,MU-DT,Mixed Use Downtown,2525,25.0,111.8
4213-016-010,,MU-2,Mixed Use 2,2797,25.0,115.3
4210-002-031,5033 OVERLAND AVE,MU-N,Mixed Use Neighborhood,2632,25.0,106.1
4230-023-014,12920 W WASHINGTON BLVD,MU-1,Mixed Use 1,2494,25.0,99.8
4215-015-026,4363 SEPULVEDA BLVD,MU-1,Mixed Use 1,2006,25.1,80.4
4206-015-036,8970 WASHINGTON BLVD,MU-MD,Mixed Use Medium,2502,25.0,100.1
4215-014-021,11160 CULVER BLVD,MU-N,Mixed Use Neighborhood,2337,26.7,90.0
4214-002-040,11281 WASHINGTON PL,MU-1,Mixed Use 1,2455,24.9,100.1
4233-030-003,11314 WASHINGTON PL,MU-1,Mixed Use 1,2492,25.1,99.9
4235-019-022,12329 WASHINGTON PL,MU-MD,Mixed Use Medium,1794,26.0,91.6
4205-004-033,5905 SMILEY DR,MU-2,Mixed Use 2,1305,29.4,88.9
